mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total Pathology % Area ,Inclusion Pathology % Area,Neurite Pathology % Area,Inclusion Count per mm^2 (log10)
IM 137,"c(721, 305, 778, 821, 33, 593)",0.5,right,VISp,"c(""VISp4"", ""VISp6b"", ""VISp5"", ""VISp2/3"", ""VISp6a"", ""VISp1"")",WT,mPFF,M,pSyn,0.001316796,0,0.001316796,0
IM 138,"c(821, 33, 778, 721, 305, 593)",0.5,right,VISp,"c(""VISp2/3"", ""VISp6a"", ""VISp5"", ""VISp4"", ""VISp6b"", ""VISp1"")",WT,mPFF,M,pSyn,0.00090393,0,0.00090393,0
IM 139,"c(593, 305, 821, 778, 33, 721)",0.5,right,VISp,"c(""VISp1"", ""VISp6b"", ""VISp2/3"", ""VISp5"", ""VISp6a"", ""VISp4"")",WT,mPFF,M,pSyn,0.000636571,0,0.000636571,0
IM 140,"c(821, 778, 593, 33, 721, 305)",0.5,right,VISp,"c(""VISp2/3"", ""VISp5"", ""VISp1"", ""VISp6a"", ""VISp4"", ""VISp6b"")",WT,mPFF,M,pSyn,0.002264547,0,0.002264547,0
IM 133,"c(377, 902, 393)",0.5,right,VISpl,"c(""VISpl6a"", ""VISpl5"", ""VISpl6b"")",WT,mPFF,F,pSyn,0.018610067,0,0.018610067,0
IM 134,"c(902, 377, 869, 393, 269)",0.5,right,VISpl,"c(""VISpl5"", ""VISpl6a"", ""VISpl4"", ""VISpl6b"", ""VISpl2/3"")",WT,mPFF,F,pSyn,0.00452787,0,0.00452787,0
IM 135,"c(377, 902, 869, 393)",0.5,right,VISpl,"c(""VISpl6a"", ""VISpl5"", ""VISpl4"", ""VISpl6b"")",WT,mPFF,F,pSyn,7.14E-05,0,7.14E-05,0
IM 136,"c(393, 902, 869, 377)",0.5,right,VISpl,"c(""VISpl6b"", ""VISpl5"", ""VISpl4"", ""VISpl6a"")",WT,mPFF,F,pSyn,0.000629514,0,0.000629514,0
IM 137,"c(869, 377, 750, 393, 902, 269)",0.5,right,VISpl,"c(""VISpl4"", ""VISpl6a"", ""VISpl1"", ""VISpl6b"", ""VISpl5"", ""VISpl2/3"")",WT,mPFF,M,pSyn,0.004195887,0,0.004195887,0
IM 138,"c(269, 377, 869, 902, 393)",0.5,right,VISpl,"c(""VISpl2/3"", ""VISpl6a"", ""VISpl4"", ""VISpl5"", ""VISpl6b"")",WT,mPFF,M,pSyn,0.00228541,0,0.00228541,0
IM 139,"c(377, 269, 393, 902, 750, 869)",0.5,right,VISpl,"c(""VISpl6a"", ""VISpl2/3"", ""VISpl6b"", ""VISpl5"", ""VISpl1"", ""VISpl4"")",WT,mPFF,M,pSyn,0.007943887,0,0.007943887,0
IM 140,"c(393, 377, 869, 269, 902)",0.5,right,VISpl,"c(""VISpl6b"", ""VISpl6a"", ""VISpl4"", ""VISpl2/3"", ""VISpl5"")",WT,mPFF,M,pSyn,0,0,0,0
IM 133,"c(805, 41, 565, 469, 257, 501)",0.5,right,VISpm,"c(""VISpm1"", ""VISpm2/3"", ""VISpm5"", ""VISpm6b"", ""VISpm6a"", ""VISpm4"")",WT,mPFF,F,pSyn,0.000283832,0,0.000283832,0
IM 134,"c(565, 41, 805, 257, 501, 469)",0.5,right,VISpm,"c(""VISpm5"", ""VISpm2/3"", ""VISpm1"", ""VISpm6a"", ""VISpm4"", ""VISpm6b"")",WT,mPFF,F,pSyn,0.000900573,0,0.000900573,0
IM 135,"c(565, 501, 41, 805, 257, 469)",0.5,right,VISpm,"c(""VISpm5"", ""VISpm4"", ""VISpm2/3"", ""VISpm1"", ""VISpm6a"", ""VISpm6b"")",WT,mPFF,F,pSyn,7.35E-05,0,7.35E-05,0
IM 136,"c(41, 805, 501, 565, 257, 469)",0.5,right,VISpm,"c(""VISpm2/3"", ""VISpm1"", ""VISpm4"", ""VISpm5"", ""VISpm6a"", ""VISpm6b"")",WT,mPFF,F,pSyn,0.00169571,0,0.00169571,0
IM 137,"c(805, 469, 41, 257, 501, 565)",0.5,right,VISpm,"c(""VISpm1"", ""VISpm6b"", ""VISpm2/3"", ""VISpm6a"", ""VISpm4"", ""VISpm5"")",WT,mPFF,M,pSyn,0.000319721,0,0.000319721,0
IM 138,"c(805, 257, 41, 469, 565, 501)",0.5,right,VISpm,"c(""VISpm1"", ""VISpm6a"", ""VISpm2/3"", ""VISpm6b"", ""VISpm5"", ""VISpm4"")",WT,mPFF,M,pSyn,0.01069266,0,0.01069266,0
IM 139,"c(41, 805, 257, 501, 565, 469)",0.5,right,VISpm,"c(""VISpm2/3"", ""VISpm1"", ""VISpm6a"", ""VISpm4"", ""VISpm5"", ""VISpm6b"")",WT,mPFF,M,pSyn,0.00953647,0,0.00953647,0
IM 140,"c(257, 501, 469, 41, 565, 805)",0.5,right,VISpm,"c(""VISpm6a"", ""VISpm4"", ""VISpm6b"", ""VISpm2/3"", ""VISpm5"", ""VISpm1"")",WT,mPFF,M,pSyn,0.001462145,0,0.001462145,0
IM 133,"c(312782644, 312782648, 312782632, 312782636, 312782652, 312782640)",0.5,right,VISpor,"c(""VISpor5"", ""VISpor6a"", ""VISpor1"", ""VISpor2/3"", ""VISpor6b"", ""VISpor4"")",WT,mPFF,F,pSyn,0.002544745,0,0.002544745,0
IM 134,"c(312782636, 312782640, 312782644, 312782648, 312782632)",0.5,right,VISpor,"c(""VISpor2/3"", ""VISpor4"", ""VISpor5"", ""VISpor6a"", ""VISpor1"")",WT,mPFF,F,pSyn,0.012867799,0,0.012867799,0
IM 135,"c(312782648, 312782640, 312782644, 312782632, 312782636)",0.5,right,VISpor,"c(""VISpor6a"", ""VISpor4"", ""VISpor5"", ""VISpor1"", ""VISpor2/3"")",WT,mPFF,F,pSyn,0.001312966,0,0.001312966,0
IM 136,"c(312782632, 312782636, 312782648, 312782644, 312782640)",0.5,right,VISpor,"c(""VISpor1"", ""VISpor2/3"", ""VISpor6a"", ""VISpor5"", ""VISpor4"")",WT,mPFF,F,pSyn,0.005217449,0,0.005217449,0
IM 137,"c(312782644, 312782648, 312782632, 312782636, 312782640)",0.5,right,VISpor,"c(""VISpor5"", ""VISpor6a"", ""VISpor1"", ""VISpor2/3"", ""VISpor4"")",WT,mPFF,M,pSyn,0.001658609,0,0.001658609,0
IM 138,"c(312782644, 312782648, 312782640, 312782636, 312782632)",0.5,right,VISpor,"c(""VISpor5"", ""VISpor6a"", ""VISpor4"", ""VISpor2/3"", ""VISpor1"")",WT,mPFF,M,pSyn,0.007477767,0,0.007477767,0
IM 139,"c(312782648, 312782636, 312782644, 312782640, 312782632)",0.5,right,VISpor,"c(""VISpor6a"", ""VISpor2/3"", ""VISpor5"", ""VISpor4"", ""VISpor1"")",WT,mPFF,M,pSyn,0.01076099,0,0.01076099,0
IM 140,"c(312782636, 312782632, 312782648, 312782640, 312782644)",0.5,right,VISpor,"c(""VISpor2/3"", ""VISpor1"", ""VISpor6a"", ""VISpor4"", ""VISpor5"")",WT,mPFF,M,pSyn,0.013135055,0,0.013135055,0
IM 133,"c(312782604, 312782620, 312782612, 312782616, 312782624, 312782608)",0.5,right,VISrl,"c(""VISrl1"", ""VISrl6a"", ""VISrl4"", ""VISrl5"", ""VISrl6b"", ""VISrl2/3"")",WT,mPFF,F,pSyn,0.007910897,0,0.007910897,0
IM 134,"c(312782624, 312782604, 312782608, 312782612, 312782620, 312782616)",0.5,right,VISrl,"c(""VISrl6b"", ""VISrl1"", ""VISrl2/3"", ""VISrl4"", ""VISrl6a"", ""VISrl5"")",WT,mPFF,F,pSyn,0.003046024,0,0.003046024,0
IM 135,"c(312782620, 312782608, 312782612, 312782604, 312782616)",0.5,right,VISrl,"c(""VISrl6a"", ""VISrl2/3"", ""VISrl4"", ""VISrl1"", ""VISrl5"")",WT,mPFF,F,pSyn,0.014551589,0,0.014551589,0
IM 136,"c(312782608, 312782612, 312782604, 312782620, 312782624, 312782616)",0.5,right,VISrl,"c(""VISrl2/3"", ""VISrl4"", ""VISrl1"", ""VISrl6a"", ""VISrl6b"", ""VISrl5"")",WT,mPFF,F,pSyn,0.000762513,0,0.000762513,0
IM 137,"c(312782616, 312782624, 312782612, 312782620, 312782608, 312782604)",0.5,right,VISrl,"c(""VISrl5"", ""VISrl6b"", ""VISrl4"", ""VISrl6a"", ""VISrl2/3"", ""VISrl1"")",WT,mPFF,M,pSyn,0.012231322,0,0.012231322,0
IM 138,"c(312782624, 312782616, 312782612, 312782604, 312782608, 312782620)",0.5,right,VISrl,"c(""VISrl6b"", ""VISrl5"", ""VISrl4"", ""VISrl1"", ""VISrl2/3"", ""VISrl6a"")",WT,mPFF,M,pSyn,0.005225427,0,0.005225427,0
IM 139,"c(312782604, 312782608, 312782612, 312782616, 312782620, 312782624)",0.5,right,VISrl,"c(""VISrl1"", ""VISrl2/3"", ""VISrl4"", ""VISrl5"", ""VISrl6a"", ""VISrl6b"")",WT,mPFF,M,pSyn,0.013263159,0,0.013263159,0
IM 140,"c(312782608, 312782616, 312782604, 312782620, 312782612)",0.5,right,VISrl,"c(""VISrl2/3"", ""VISrl5"", ""VISrl1"", ""VISrl6a"", ""VISrl4"")",WT,mPFF,M,pSyn,0.043584817,0,0.043584817,0
IM 133,685,0.5,right,VM,VM,WT,mPFF,F,pSyn,0.011797968,0,0.011797968,0
IM 134,685,0.5,right,VM,VM,WT,mPFF,F,pSyn,0.008351724,0,0.008351724,0
IM 135,685,0.5,right,VM,VM,WT,mPFF,F,pSyn,0.000240088,0,0.000240088,0
IM 136,685,0.5,right,VM,VM,WT,mPFF,F,pSyn,0.003910488,0,0.003910488,0
IM 137,685,0.5,right,VM,VM,WT,mPFF,M,pSyn,0.006384775,0,0.006384775,0
IM 138,685,0.5,right,VM,VM,WT,mPFF,M,pSyn,0.006244787,0,0.006244787,0
IM 139,685,0.5,right,VM,VM,WT,mPFF,M,pSyn,0.002914113,0,0.002914113,0
IM 140,685,0.5,right,VM,VM,WT,mPFF,M,pSyn,0.009358937,0,0.009358937,0
IM 133,693,0.5,right,VMH,VMH,WT,mPFF,F,pSyn,0.000188268,0,0.000188268,0
IM 134,693,0.5,right,VMH,VMH,WT,mPFF,F,pSyn,0.002696155,0,0.002696155,0
IM 135,693,0.5,right,VMH,VMH,WT,mPFF,F,pSyn,0.00339807,0,0.00339807,0
IM 136,693,0.5,right,VMH,VMH,WT,mPFF,F,pSyn,0.000260844,0,0.000260844,0
IM 137,693,0.5,right,VMH,VMH,WT,mPFF,M,pSyn,0,0,0,0
IM 138,693,0.5,right,VMH,VMH,WT,mPFF,M,pSyn,0.000398059,0,0.000398059,0
IM 139,693,0.5,right,VMH,VMH,WT,mPFF,M,pSyn,0.000707284,0,0.000707284,0
IM 140,693,0.5,right,VMH,VMH,WT,mPFF,M,pSyn,0.000447184,0,0.000447184,0
IM 133,"c(741, 725)",0.5,right,VP,"c(""VPMpc"", ""VPLpc"")",WT,mPFF,F,pSyn,0.001823358,0,0.001823358,0
IM 134,"c(725, 741)",0.5,right,VP,"c(""VPLpc"", ""VPMpc"")",WT,mPFF,F,pSyn,0.00556076,0,0.00556076,0
IM 135,"c(741, 725)",0.5,right,VP,"c(""VPMpc"", ""VPLpc"")",WT,mPFF,F,pSyn,0.000117023,0,0.000117023,0
IM 136,"c(741, 725)",0.5,right,VP,"c(""VPMpc"", ""VPLpc"")",WT,mPFF,F,pSyn,0.003706159,0,0.003706159,0
IM 137,"c(741, 725)",0.5,right,VP,"c(""VPMpc"", ""VPLpc"")",WT,mPFF,M,pSyn,0,0,0,0
IM 138,"c(725, 741)",0.5,right,VP,"c(""VPLpc"", ""VPMpc"")",WT,mPFF,M,pSyn,0.004309364,0,0.004309364,0
IM 139,"c(725, 741)",0.5,right,VP,"c(""VPLpc"", ""VPMpc"")",WT,mPFF,M,pSyn,0.001214383,0,0.001214383,0
IM 140,"c(741, 725)",0.5,right,VP,"c(""VPMpc"", ""VPLpc"")",WT,mPFF,M,pSyn,0.002201981,0,0.002201981,0
IM 133,718,0.5,right,VPL,VPL,WT,mPFF,F,pSyn,0.00471776,0,0.00471776,0
IM 134,718,0.5,right,VPL,VPL,WT,mPFF,F,pSyn,0.010718063,0,0.010718063,0
IM 135,718,0.5,right,VPL,VPL,WT,mPFF,F,pSyn,0.003247283,0,0.003247283,0
IM 136,718,0.5,right,VPL,VPL,WT,mPFF,F,pSyn,0.001697169,0,0.001697169,0
IM 137,718,0.5,right,VPL,VPL,WT,mPFF,M,pSyn,0.002614349,0,0.002614349,0
IM 138,718,0.5,right,VPL,VPL,WT,mPFF,M,pSyn,0.003492827,0,0.003492827,0
IM 139,718,0.5,right,VPL,VPL,WT,mPFF,M,pSyn,0.007708656,0,0.007708656,0
IM 140,718,0.5,right,VPL,VPL,WT,mPFF,M,pSyn,0.009471509,0,0.009471509,0
IM 133,733,0.5,right,VPM,VPM,WT,mPFF,F,pSyn,0.006957257,0,0.006957257,0
IM 134,733,0.5,right,VPM,VPM,WT,mPFF,F,pSyn,0.006219245,0,0.006219245,0
IM 135,733,0.5,right,VPM,VPM,WT,mPFF,F,pSyn,0.00107827,0,0.00107827,0
IM 136,733,0.5,right,VPM,VPM,WT,mPFF,F,pSyn,0.002257645,0,0.002257645,0
IM 137,733,0.5,right,VPM,VPM,WT,mPFF,M,pSyn,0.006416101,0,0.006416101,0
IM 138,733,0.5,right,VPM,VPM,WT,mPFF,M,pSyn,0.004228036,0,0.004228036,0
IM 139,733,0.5,right,VPM,VPM,WT,mPFF,M,pSyn,0.005739649,0,0.005739649,0
IM 140,733,0.5,right,VPM,VPM,WT,mPFF,M,pSyn,0.013310645,0,0.013310645,0
IM 133,749,0.5,right,VTA,VTA,WT,mPFF,F,pSyn,0.242769942,0.174424914,0.068345032,22.17016295
IM 134,749,0.5,right,VTA,VTA,WT,mPFF,F,pSyn,0.175967467,0.121176506,0.054790968,8.620457832
IM 135,749,0.5,right,VTA,VTA,WT,mPFF,F,pSyn,0.125031229,0,0.125031229,0
IM 136,749,0.5,right,VTA,VTA,WT,mPFF,F,pSyn,0.07271204,0.05221528,0.020496763,3.206810669
IM 137,749,0.5,right,VTA,VTA,WT,mPFF,M,pSyn,0,0,0,0
IM 138,749,0.5,right,VTA,VTA,WT,mPFF,M,pSyn,0.009090266,0,0.009090266,0
IM 139,749,0.5,right,VTA,VTA,WT,mPFF,M,pSyn,0.053484949,0.016822907,0.036662042,3.569173644
IM 140,749,0.5,right,VTA,VTA,WT,mPFF,M,pSyn,0.048992277,0.014326983,0.034665294,4.208724863
IM 133,560581559,0.5,right,Xi,Xi,WT,mPFF,F,pSyn,0.00479178,0,0.00479178,0
IM 134,560581559,0.5,right,Xi,Xi,WT,mPFF,F,pSyn,0,0,0,0
IM 135,560581559,0.5,right,Xi,Xi,WT,mPFF,F,pSyn,0,0,0,0
IM 136,560581559,0.5,right,Xi,Xi,WT,mPFF,F,pSyn,0,0,0,0
IM 137,560581559,0.5,right,Xi,Xi,WT,mPFF,M,pSyn,0,0,0,0
IM 138,560581559,0.5,right,Xi,Xi,WT,mPFF,M,pSyn,0,0,0,0
IM 139,560581559,0.5,right,Xi,Xi,WT,mPFF,M,pSyn,0,0,0,0
IM 140,560581559,0.5,right,Xi,Xi,WT,mPFF,M,pSyn,0.003080795,0,0.003080795,0
IM 133,797,0.5,right,ZI,ZI,WT,mPFF,F,pSyn,0.002391784,0,0.002391784,0
IM 134,797,0.5,right,ZI,ZI,WT,mPFF,F,pSyn,0.001663573,0,0.001663573,0
IM 135,797,0.5,right,ZI,ZI,WT,mPFF,F,pSyn,0.002842372,0,0.002842372,0
IM 136,797,0.5,right,ZI,ZI,WT,mPFF,F,pSyn,0.001453305,0,0.001453305,0
IM 137,797,0.5,right,ZI,ZI,WT,mPFF,M,pSyn,0.000342473,0,0.000342473,0
IM 138,797,0.5,right,ZI,ZI,WT,mPFF,M,pSyn,0.005208454,0,0.005208454,0
IM 139,797,0.5,right,ZI,ZI,WT,mPFF,M,pSyn,0.003655462,0,0.003655462,0
IM 140,797,0.5,right,ZI,ZI,WT,mPFF,M,pSyn,0.004233824,0,0.004233824,0
IM 100,"c(211, 919, 1015, 927, 935)",3,left,ACAd,"c(""ACAd2/3"", ""ACAd6a"", ""ACAd5"", ""ACAd6b"", ""ACAd1"")",WT,mPFF,M,pSyn,0.079482858,0.022836974,0.056645885,6.125045127
IM 101,"c(927, 1015, 211, 919, 935)",3,left,ACAd,"c(""ACAd6b"", ""ACAd5"", ""ACAd2/3"", ""ACAd6a"", ""ACAd1"")",WT,mPFF,F,pSyn,0.111562067,0.044847225,0.06671484,10.37984235
IM 102,"c(935, 927, 919, 1015, 211)",3,left,ACAd,"c(""ACAd1"", ""ACAd6b"", ""ACAd6a"", ""ACAd5"", ""ACAd2/3"")",WT,mPFF,F,pSyn,0.14662455,0.02353333,0.12309122,9.383205167
IM 103,"c(919, 211, 935, 1015, 927)",3,left,ACAd,"c(""ACAd6a"", ""ACAd2/3"", ""ACAd1"", ""ACAd5"", ""ACAd6b"")",WT,mPFF,F,pSyn,0.038414082,0.000708373,0.037705708,1.700419209
IM 104,"c(919, 935, 211, 1015, 927)",3,left,ACAd,"c(""ACAd6a"", ""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6b"")",WT,mPFF,F,pSyn,0.248052926,0.074068517,0.17398441,19.55142033
IM 66,"c(935, 211, 1015, 927, 919)",3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6b"", ""ACAd6a"")",WT,mPFF,F,pSyn,0.079584932,0.009108083,0.070476849,2.068173991
IM 67,"c(927, 919, 1015, 211, 935)",3,left,ACAd,"c(""ACAd6b"", ""ACAd6a"", ""ACAd5"", ""ACAd2/3"", ""ACAd1"")",WT,mPFF,F,pSyn,0.082953737,0.026126073,0.056827664,7.967357922
IM 69,"c(919, 1015, 211, 927, 935)",3,left,ACAd,"c(""ACAd6a"", ""ACAd5"", ""ACAd2/3"", ""ACAd6b"", ""ACAd1"")",WT,mPFF,M,pSyn,0.17111299,0.075145015,0.095967975,15.30781729
IM 71,"c(1015, 935, 919, 927, 211)",3,left,ACAd,"c(""ACAd5"", ""ACAd1"", ""ACAd6a"", ""ACAd6b"", ""ACAd2/3"")",WT,mPFF,M,pSyn,0.070023036,0.025800703,0.044222333,6.548854598
IM 72,"c(1015, 919, 211, 927, 935)",3,left,ACAd,"c(""ACAd5"", ""ACAd6a"", ""ACAd2/3"", ""ACAd6b"", ""ACAd1"")",WT,mPFF,M,pSyn,0.034887757,0.009249863,0.025637894,2.49883015
IM 98,"c(935, 211, 1015, 919, 927)",3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,0.156773014,0.045530616,0.111242401,14.23631781
IM 99,"c(1015, 935, 211, 919, 927)",3,left,ACAd,"c(""ACAd5"", ""ACAd1"", ""ACAd2/3"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,0.13584989,0.03205241,0.10379748,11.26153294
IM 100,"c(810, 772, 588, 296)",3,left,ACAv,"c(""ACAv6a"", ""ACAv5"", ""ACAv1"", ""ACAv2/3"")",WT,mPFF,M,pSyn,0.004234265,0,0.004234265,0
IM 101,"c(810, 296, 588, 819, 772)",3,left,ACAv,"c(""ACAv6a"", ""ACAv2/3"", ""ACAv1"", ""ACAv6b"", ""ACAv5"")",WT,mPFF,F,pSyn,0.077860896,0.037601113,0.040259781,10.63667927
IM 102,"c(588, 810, 772, 296, 819)",3,left,ACAv,"c(""ACAv1"", ""ACAv6a"", ""ACAv5"", ""ACAv2/3"", ""ACAv6b"")",WT,mPFF,F,pSyn,0.048353222,0.015438226,0.032914996,4.177318446
IM 103,"c(810, 588, 819, 296, 772)",3,left,ACAv,"c(""ACAv6a"", ""ACAv1"", ""ACAv6b"", ""ACAv2/3"", ""ACAv5"")",WT,mPFF,F,pSyn,0.049465945,0.019528452,0.029937492,5.159439559
IM 104,"c(588, 772, 810, 296)",3,left,ACAv,"c(""ACAv1"", ""ACAv5"", ""ACAv6a"", ""ACAv2/3"")",WT,mPFF,F,pSyn,0.033531793,0.004093997,0.029437796,3.275820255
IM 66,"c(296, 588, 772, 819, 810)",3,left,ACAv,"c(""ACAv2/3"", ""ACAv1"", ""ACAv5"", ""ACAv6b"", ""ACAv6a"")",WT,mPFF,F,pSyn,0.00190906,0,0.00190906,0
IM 67,"c(810, 296, 819, 588, 772)",3,left,ACAv,"c(""ACAv6a"", ""ACAv2/3"", ""ACAv6b"", ""ACAv1"", ""ACAv5"")",WT,mPFF,F,pSyn,0.005679832,0,0.005679832,0
IM 69,"c(819, 588, 296, 810, 772)",3,left,ACAv,"c(""ACAv6b"", ""ACAv1"", ""ACAv2/3"", ""ACAv6a"", ""ACAv5"")",WT,mPFF,M,pSyn,0.061118943,0.021837514,0.039281429,7.30956093
IM 71,"c(772, 296, 819, 810, 588)",3,left,ACAv,"c(""ACAv5"", ""ACAv2/3"", ""ACAv6b"", ""ACAv6a"", ""ACAv1"")",WT,mPFF,M,pSyn,0.000387849,0,0.000387849,0
IM 72,"c(810, 296, 819, 588, 772)",3,left,ACAv,"c(""ACAv6a"", ""ACAv2/3"", ""ACAv6b"", ""ACAv1"", ""ACAv5"")",WT,mPFF,M,pSyn,0.001305869,0,0.001305869,0
IM 98,"c(588, 772, 296, 819, 810)",3,left,ACAv,"c(""ACAv1"", ""ACAv5"", ""ACAv2/3"", ""ACAv6b"", ""ACAv6a"")",WT,mPFF,M,pSyn,0.020214638,0.003605701,0.016608937,2.385326368
IM 99,"c(810, 772, 296, 819, 588)",3,left,ACAv,"c(""ACAv6a"", ""ACAv5"", ""ACAv2/3"", ""ACAv6b"", ""ACAv1"")",WT,mPFF,M,pSyn,0.010391206,0,0.010391206,0
IM 100,56,3,left,ACB,ACB,WT,mPFF,M,pSyn,0.013626798,0.003586632,0.010040166,1.007807201
IM 101,56,3,left,ACB,ACB,WT,mPFF,F,pSyn,0.015935694,0,0.015935694,0
IM 102,56,3,left,ACB,ACB,WT,mPFF,F,pSyn,0.013360764,0,0.013360764,0
IM 103,56,3,left,ACB,ACB,WT,mPFF,F,pSyn,0.011376094,0.001130214,0.01024588,0.887439721
IM 104,56,3,left,ACB,ACB,WT,mPFF,F,pSyn,0.010392703,0,0.010392703,0
IM 66,56,3,left,ACB,ACB,WT,mPFF,F,pSyn,0.009493302,0,0.009493302,0
IM 69,56,3,left,ACB,ACB,WT,mPFF,M,pSyn,0.01424499,0,0.01424499,0
IM 71,56,3,left,ACB,ACB,WT,mPFF,M,pSyn,0.014148364,0.00482937,0.009318994,2.038915703
IM 98,56,3,left,ACB,ACB,WT,mPFF,M,pSyn,0.008282342,0,0.008282342,0
IM 99,56,3,left,ACB,ACB,WT,mPFF,M,pSyn,0.013949841,0.002200112,0.01174973,0.796743578
IM 67,72,3,left,ADP,ADP,WT,mPFF,F,pSyn,0,0,0,0
IM 69,72,3,left,ADP,ADP,WT,mPFF,M,pSyn,0,0,0,0
IM 71,72,3,left,ADP,ADP,WT,mPFF,M,pSyn,0,0,0,0
IM 72,72,3,left,ADP,ADP,WT,mPFF,M,pSyn,0,0,0,0
IM 101,88,3,left,AHN,AHN,WT,mPFF,F,pSyn,0,0,0,0
IM 104,88,3,left,AHN,AHN,WT,mPFF,F,pSyn,0,0,0,0
IM 66,88,3,left,AHN,AHN,WT,mPFF,F,pSyn,0,0,0,0
IM 67,88,3,left,AHN,AHN,WT,mPFF,F,pSyn,0,0,0,0
IM 69,88,3,left,AHN,AHN,WT,mPFF,M,pSyn,0,0,0,0
IM 71,88,3,left,AHN,AHN,WT,mPFF,M,pSyn,0,0,0,0
IM 72,88,3,left,AHN,AHN,WT,mPFF,M,pSyn,0,0,0,0
IM 100,"c(328, 1101, 831, 783, 996)",3,left,AId,"c(""AId2/3"", ""AId5"", ""AId6b"", ""AId6a"", ""AId1"")",WT,mPFF,M,pSyn,0.105386544,0.028789052,0.076597492,6.46938134
IM 101,"c(328, 783, 1101, 831, 996)",3,left,AId,"c(""AId2/3"", ""AId6a"", ""AId5"", ""AId6b"", ""AId1"")",WT,mPFF,F,pSyn,0.068610246,0.021509781,0.047100464,7.142944706
IM 102,"c(783, 1101, 328, 996, 831)",3,left,AId,"c(""AId6a"", ""AId5"", ""AId2/3"", ""AId1"", ""AId6b"")",WT,mPFF,F,pSyn,0.0697341,0.014195847,0.055538253,4.47030649
IM 103,"c(831, 328, 996, 783, 1101)",3,left,AId,"c(""AId6b"", ""AId2/3"", ""AId1"", ""AId6a"", ""AId5"")",WT,mPFF,F,pSyn,0.014468393,0.007314417,0.007153976,2.378817236
IM 104,"c(1101, 328, 783, 996, 831)",3,left,AId,"c(""AId5"", ""AId2/3"", ""AId6a"", ""AId1"", ""AId6b"")",WT,mPFF,F,pSyn,0.09586213,0.032769673,0.063092457,5.946383805
IM 66,"c(1101, 783, 996, 328, 831)",3,left,AId,"c(""AId5"", ""AId6a"", ""AId1"", ""AId2/3"", ""AId6b"")",WT,mPFF,F,pSyn,0.045064059,0.007125971,0.037938087,2.9835317
IM 67,"c(328, 783, 996, 1101)",3,left,AId,"c(""AId2/3"", ""AId6a"", ""AId1"", ""AId5"")",WT,mPFF,F,pSyn,0.172798304,0.04838288,0.124415423,14.4197735
IM 69,"c(783, 1101, 996, 328, 831)",3,left,AId,"c(""AId6a"", ""AId5"", ""AId1"", ""AId2/3"", ""AId6b"")",WT,mPFF,M,pSyn,0.055510361,0.01089989,0.044610471,4.355599596
IM 71,"c(783, 831, 1101, 328, 996)",3,left,AId,"c(""AId6a"", ""AId6b"", ""AId5"", ""AId2/3"", ""AId1"")",WT,mPFF,M,pSyn,0.033825977,0,0.033825977,0
IM 72,"c(783, 831, 1101, 328, 996)",3,left,AId,"c(""AId6a"", ""AId6b"", ""AId5"", ""AId2/3"", ""AId1"")",WT,mPFF,M,pSyn,0.092229841,0.009082309,0.083147532,2.07352975
IM 98,"c(996, 783, 328, 1101, 831)",3,left,AId,"c(""AId1"", ""AId6a"", ""AId2/3"", ""AId5"", ""AId6b"")",WT,mPFF,M,pSyn,0.042075886,0.018757265,0.023318623,4.573156225
IM 99,"c(783, 1101, 996, 328, 831)",3,left,AId,"c(""AId6a"", ""AId5"", ""AId1"", ""AId2/3"", ""AId6b"")",WT,mPFF,M,pSyn,0.087429932,0.036242144,0.051187787,7.541594314
IM 100,"c(314, 120, 163, 344, 355)",3,left,AIp,"c(""AIp6a"", ""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6b"")",WT,mPFF,M,pSyn,0.134774273,0.029820747,0.104953525,2.957991617
IM 101,"c(120, 314, 355, 344, 163)",3,left,AIp,"c(""AIp1"", ""AIp6a"", ""AIp6b"", ""AIp5"", ""AIp2/3"")",WT,mPFF,F,pSyn,0.094420263,0,0.094420263,0
IM 102,"c(344, 355, 314, 163, 120)",3,left,AIp,"c(""AIp5"", ""AIp6b"", ""AIp6a"", ""AIp2/3"", ""AIp1"")",WT,mPFF,F,pSyn,0.187377769,0.032560577,0.154817191,5.990383418
IM 103,"c(355, 314, 120, 344, 163)",3,left,AIp,"c(""AIp6b"", ""AIp6a"", ""AIp1"", ""AIp5"", ""AIp2/3"")",WT,mPFF,F,pSyn,0.029582107,0,0.029582107,0
IM 104,"c(355, 344, 120, 163, 314)",3,left,AIp,"c(""AIp6b"", ""AIp5"", ""AIp1"", ""AIp2/3"", ""AIp6a"")",WT,mPFF,F,pSyn,0.142341969,0.021063398,0.121278571,5.013205948
