,mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,forRemove,batch,Region Area,Logged Region Area
147,IM 341,672,0.2,left,CP,CP,WT,mPFF,F,pSyn,672,None,1489884.775,6.173152682
148,IM 331,924,0.2,left,cpd,cpd,WT,mPFF,M,pSyn,924,None,266210.6619,5.425225445
149,IM 334,924,0.2,left,cpd,cpd,WT,mPFF,F,pSyn,924,None,229964.2888,5.3616604
150,IM 338,924,0.2,left,cpd,cpd,WT,mPFF,M,pSyn,924,None,233107.8204,5.367556844
151,IM 331,679,0.2,left,CS,CS,WT,mPFF,M,pSyn,679,None,255167.2708,5.406824969
152,IM 334,679,0.2,left,CS,CS,WT,mPFF,F,pSyn,679,None,261764.543,5.417910819
153,IM 338,679,0.2,left,CS,CS,WT,mPFF,M,pSyn,679,None,286055.4286,5.456450194
154,IM 341,679,0.2,left,CS,CS,WT,mPFF,F,pSyn,679,None,279396.1135,5.446220361
155,IM 331,784,0.2,left,cst,cst,WT,mPFF,M,pSyn,784,None,37126.57039,4.569684833
156,IM 334,784,0.2,left,cst,cst,WT,mPFF,F,pSyn,784,None,38250.01346,4.582631592
157,IM 338,784,0.2,left,cst,cst,WT,mPFF,M,pSyn,784,None,30043.93302,4.477756785
158,IM 341,784,0.2,left,cst,cst,WT,mPFF,F,pSyn,784,None,34582.40739,4.538855223
159,IM 331,703,0.2,left,CTXsp,CTXsp,WT,mPFF,M,pSyn,703,None,21787.39732,4.338205354
160,IM 334,703,0.2,left,CTXsp,CTXsp,WT,mPFF,F,pSyn,703,None,22949.50532,4.360773329
161,IM 338,703,0.2,left,CTXsp,CTXsp,WT,mPFF,M,pSyn,703,None,22963.43427,4.361036839
162,IM 341,703,0.2,left,CTXsp,CTXsp,WT,mPFF,F,pSyn,703,None,21992.15383,4.342267765
163,IM 331,"c(10703, 10704, 632)",0.2,left,DG,"c(""DG-mo"", ""DG-po"", ""DG-sg"")",WT,mPFF,M,pSyn,"c(10703, 10704, 632)",None,240963.0478,5.381950448
164,IM 334,"c(10703, 10704, 632)",0.2,left,DG,"c(""DG-mo"", ""DG-po"", ""DG-sg"")",WT,mPFF,F,pSyn,"c(10703, 10704, 632)",None,216342.1721,5.335141186
165,IM 338,"c(10703, 10704, 632)",0.2,left,DG,"c(""DG-mo"", ""DG-po"", ""DG-sg"")",WT,mPFF,M,pSyn,"c(10703, 10704, 632)",None,217346.7296,5.33715311
166,IM 341,"c(10703, 10704, 632)",0.2,left,DG,"c(""DG-mo"", ""DG-po"", ""DG-sg"")",WT,mPFF,F,pSyn,"c(10703, 10704, 632)",None,193439.404,5.286544945
167,IM 331,443,0.2,left,dhc,dhc,WT,mPFF,M,pSyn,443,None,108532.1934,5.03555858
168,IM 334,443,0.2,left,dhc,dhc,WT,mPFF,F,pSyn,443,None,82086.2676,4.914270509
169,IM 338,443,0.2,left,dhc,dhc,WT,mPFF,M,pSyn,443,None,101158.8748,5.00500399
170,IM 341,443,0.2,left,dhc,dhc,WT,mPFF,F,pSyn,443,None,69405.45767,4.841393622
171,IM 331,830,0.2,left,DMH,DMH,WT,mPFF,M,pSyn,830,None,85603.65456,4.932492306
172,IM 334,830,0.2,left,DMH,DMH,WT,mPFF,F,pSyn,830,None,96387.78312,4.984021992
173,IM 338,830,0.2,left,DMH,DMH,WT,mPFF,M,pSyn,830,None,60957.97569,4.785030536
174,IM 341,830,0.2,left,DMH,DMH,WT,mPFF,F,pSyn,830,None,150638.6291,5.177936355
175,IM 331,814,0.2,left,DP,DP,WT,mPFF,M,pSyn,814,None,100631.9461,5.002735872
176,IM 334,814,0.2,left,DP,DP,WT,mPFF,F,pSyn,814,None,59457.89715,4.774209545
177,IM 338,814,0.2,left,DP,DP,WT,mPFF,M,pSyn,814,None,109349.2525,5.038815819
178,IM 341,814,0.2,left,DP,DP,WT,mPFF,F,pSyn,814,None,115066.2054,5.060947791
179,IM 331,872,0.2,left,DR,DR,WT,mPFF,M,pSyn,872,None,27826.81998,4.444463579
180,IM 334,872,0.2,left,DR,DR,WT,mPFF,F,pSyn,872,None,51577.44769,4.712459847
181,IM 338,872,0.2,left,DR,DR,WT,mPFF,M,pSyn,872,None,40396.96768,4.606348767
